[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,deutschIanda,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,MagiKoopa24,NNID: 1891-1190-6821
[],PUT MY TWO WEEKS IN AT CHIPOTLE YALL HAPPY FOURTH CHIPOTLE ANNIVERSARY TO ME,ahoylissa,hell
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,eyi_rick,
[],"RT @larrykim: 🚀Google, Apple and 12 other companies that no longer require employees to have a college degree

🔸Google
🔸Penguin Random Hous…",SocMed4Biz,"Miami, FL"
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,kendotorg,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,Moonbootica,"Devizes, England"
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,BinAnimals,The Bin Animals Project
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,kollincent,"Chicago, IL"
[],RT @_tylaaaar: I’m mad all the Chipotle’s don’t have sour cream like who tf is gonna eat that dry ass shit,k_arielle_,"Columbus, OH"
[],"RT @ChipotleTweets: ""SpOnSoR mE cHiPoTle""",brandon_wieber,"Chicago, IL"
[],A real feel good story,assfelonious,United States
[],When those Chipotle reward points come thru with that free entree &gt;&gt;&gt;,JH__89,Some place higher 
[],@AyynoMyaen @shutupsprinkles While it's not as bad I am reminded of my Chipotle story. Story is I puked in front of… https://t.co/0BnjLqKpii,kaylubdraven,
[],CHIPOTLE IS NOT MEXICAN FOOD LIKE SHIT,insideyomotha,
[],CHIPOTLE IS NOT MEXICAN FOOD,insideyomotha,
[],RT @ComicRwilliams: Only when I’m constipated https://t.co/rtEaGjvoDN,meganshaye___,"662, 901"
[],"RT @larrykim: 🚀Google, Apple and 12 other companies that no longer require employees to have a college degree

🔸Google
🔸Penguin Random Hous…",hrx876,"Illinois, USA"
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,hellaton,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,cool_bugg,hell zone
[],"*looks in mirror*
I should really start working o.....on going to Chipotle to get a burrito. 
💪🏼",MasonJ009,"Richmond, IN"
[],So ma dukes made omutuo and my dumbass purchased Chipotle 🙂,Swagfrican,DM✔️
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,gametimegreg,
[],have y’all tried mezeh? it’s like a mediterranean chipotle n it’s fire,marleymarrrrr,MD
[],i always crave chipotle. before you couldnt pay me to eat it😂,Kellz_Emoni,
[],i want tacos or some chipotle real bad,Chikiaaaaaaaaaa,somewhere minding my business.
[],"RT @EvanSowards: I’m in one of the greatest food cities in the world, at the epicenter of it in downtown LA, and I can’t stop going to Chip…",PleasurePete82,"Visalia, CA"
[],Do cops like niggas?,whoisandretti,"South Richmond, Ca"
[],RT @lilbill216: Brown Rice really carries Chipotle. Far superior to white rice and makes my burrito hit differently...,JAndrewson20,THE LAND
[],sofritas the best meat option at chipotle.,GoodDaeLA,"Los Angeles, CA"
[],3-5 times a week,mamiidev,"FW, TX"
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,weexplode,AZ ✈️ UT
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,jugheadjonesing,Sourwood Mountain
['lunch'],"Chipotle Marinara Meatball Sandwich

Included in our $15 ""Burger"" &amp; A Beer #lunch special
Monday thru Friday 11:30a… https://t.co/EHZ5lPbVwo",TheBrixtonSM,"2827 Pico Blvd, SaMo 90405"
[],@Iayeons i got chipotle  https://t.co/DnH7CWxfoT,seowrld,taetae burger
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,sevanmitchell,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,skeletontrash,PANERA
[],RT @TheYoungestKeys: When the chipotle employee tells me that guac costs extra: https://t.co/0WiCeh5eal,Drumm___,VA
[],Moe’s is WILDY better than chipotle.,justin_lopez12,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,StupidBadPlayer,Disgaea
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,peterandsons,
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,teddyandwanda,Treaty 1 territory
[],@AriNoSafari Me convincing myself to go to Chipotle like I have already had it twice last week,Dazhuss_,maryland
[],"RT @CarlBeijer: @willmenaker @cushbomb @virgiltexas @ByYourLogic @saywhatagain please give me a blog on the site, i'll write about chipotle…",AndrewR55651048,"Seriously, I’m YOUR mother and I’m trolling for cock"
[],RT @TheAmericanVets: @LilIodine7070 @kittyhawk311 @west1fsu1 @dadnme88 @koooski @mitch_two @CCM1956 @TerriLynnFoods @WabashBattalion @StBon…,ZigTj,Texas/NM/Nevada
[],RT @dinaafinaa: There’s a chipotle opening up in Astoria... we officially have it ALL,AmandaHassan8,
[],"RT @LaLagniappeBR: Weekly Specials:
Soup: Roasted Red Bell Pepper Soup
Salad: Hot Crawfish Salad 
Appetizer: Bacon Wrapped Shrimp
Entrees:…",SasserSteven,"Baton Rouge, LA"
[],Just realized I forgot that vinaigrette from chipotle I’m about to quit flip,peepgamedoe,"Salisbury, MD"
[],RT @Relentlessbored: lol Chipotle tried to frame one of their employees for theft bc they filed for worker's comp and then the worker sued…,trustbustinboi,"Rust Belt, USA"
