weight	token
-0.0956	quick
0.0757	quickly
0.9007	quite
0.0771	rather
-0.6215	re
-0.0377	read
0.3994	real
0.5225	realize
-0.1067	really
-0.5455	reason
-0.4206	recent
-0.59	recently
0.0388	red
0.3304	relationship
-0.1855	release
0.1053	released
0.8501	remember
-0.5546	rest
-0.2421	result
-0.7217	return
-0.3522	review
-0.3401	rich
-0.3686	richard
-1.5652	ridiculous
0.5198	right
-0.5067	road
0.335	robert
-0.1723	robin
-0.5804	rock
0.0933	role
-0.8849	roles
-0.1116	romance
-0.0483	romantic
-0.0298	room
0.0643	run
-0.1061	running
0.2717	runs
0.4696	ryan
0.1137	s
-0.0895	sadly
0.1478	said
-0.6142	sam
-0.2207	same
-0.9219	save
-0.2899	saw
-0.0893	say
-0.5505	saying
-0.2707	says
-0.7519	scary
-0.4787	scene
0.14	scenes
-0.7306	school
-0.2369	science
-0.1357	score
-0.8635	scott
0.0119	scream
0.0548	screen
-0.3527	screenplay
-0.6733	screenwriter
-1.3014	script
-0.1569	seagal
-0.2128	sean
0.0619	second
0.4126	secret
0.4459	see
0.6349	seeing
-0.2972	seem
-0.8608	seemed
-0.0636	seems
1.2675	seen
0.2764	sense
-0.2992	sequel
-0.08	sequence
-0.317	sequences
-0.4065	series
-0.4808	serious
-1.1069	seriously
0.0242	set
-0.002	sets
0.9577	several
-0.0754	sex
-0.4529	sexual
0.2525	she
-0.5318	ship
0.0602	short
0.8434	shot
0.0729	shots
-0.132	should
0.3612	show
0.3214	showing
0.2007	shows
0.287	side
-0.5299	silly
0.7863	similar
0.8638	simple
-0.253	simply
-0.4658	since
0.1375	single
0.0242	sit
0.0939	situation
-0.225	situations
0.0134	slow
0.4548	small
0.5738	smart
0.4431	smith
-0.4216	so
-0.5151	some
-0.2051	somehow
-0.0529	someone
-0.4094	something
0.7737	sometimes
0.3433	somewhat
-1.2939	somewhere
0.2168	son
-0.1453	soon
-0.2786	sort
0.2816	sound
-0.0855	sounds
-0.354	space
-0.6705	spawn
-0.4204	special
0.1173	species
0.0311	spend
0.0708	spent
-0.0322	spice
0.5623	star
-0.1376	starring
0.517	stars
-0.1029	start
0.0678	starts
-0.4939	stay
-0.5792	steve
0.1511	steven
-0.1784	still
-0.3983	stone
-0.5745	stop
-0.3934	story
-0.6117	straight
0.5873	strange
0.5225	street
-0.0174	strong
-0.7254	studio
0.393	stuff
-0.9718	stupid
-0.5713	style
0.0328	subject
-0.6073	subplot
0.1944	success
-0.3895	successful
-0.5059	such
-0.4959	suddenly
0.6003	summer
0.05	supporting
-1.053	supposed
0.3076	sure
0.6706	surprise
0.8701	surprisingly
-0.0588	suspense
-0.8925	t
0.2802	take
-0.087	taken
0.3053	takes
0.3748	taking
-0.1371	tale
-0.2501	talent
0.2879	talented
-0.6522	talk
-0.4288	talking
0.1889	team
-0.3691	teen
-0.1453	television
-0.0516	tell
-0.059	tells
-0.4253	ten
-1.2154	terrible
0.3488	than
-0.4468	that
0.5539	the
-0.3892	theater
0.4467	their
0.143	them
0.0867	themselves
-0.9738	then
-0.726	there
0.6102	these
0.7687	they
0.1339	thing
0.5686	things
-0.2037	think
-0.3693	thinking
0.1203	thinks
0.1602	third
-0.5626	this
-0.3256	those
0.1288	though
-0.2574	thought
0.1006	three
-0.5753	thriller
-0.8407	through
0.5349	throughout
0.249	tim
-0.2476	time
0.2446	times
0.2972	title
-0.5694	to
0.7585	together
-0.323	told
0.0633	tom
-0.5048	tone
-0.2101	too
0.6102	took
0.2786	top
0.2852	totally
0.3061	towards
0.668	town
-0.3861	trailer
-0.5998	tries
0.095	trip
-0.1458	trouble
0.7236	true
0.3134	truly
0.512	try
-0.1708	trying
-0.1665	turn
-0.2749	turned
-0.1593	turns
-0.6138	tv
-0.4242	two
-0.4177	type
0.416	ultimately
-0.2955	under
-0.13	understand
-1.7567	unfortunately
-0.2566	unfunny
0.7534	until
-0.3121	up
-0.2116	upon
0.2113	us
-0.0394	use
-0.7483	used
0.2307	uses
1.1981	using
-0.6021	usual
0.0337	usually
-0.2063	van
0.0556	various
0.0405	ve
-0.4092	version
0.9423	very
-0.5649	video
0.4324	viewer
-0.0098	viewers
-0.0549	villain
0.5979	violence
-0.6395	violent
0.2183	visual
0.3391	voice
-0.3576	wait
-0.4664	want
-0.2007	wanted
0.1045	wants
0.5402	war
-0.2057	was
-0.5412	wasn
-0.6612	waste
-0.9598	wasted
-0.1197	watch
-0.0459	watching
-0.1738	water
0.5505	way
0.396	ways
0.0165	we
-0.5574	weak
0.8853	well
-0.1238	went
0.5119	were
-0.6576	west
0.4173	what
-0.1749	whatever
-0.3061	when
-0.0347	where
0.7516	whether
-0.0278	which
0.2184	while
-0.2046	white
0.364	who
0.6354	whole
0.5865	whom
-0.3571	whose
-0.2402	why
-0.1283	wife
0.2127	wild
0.8537	will
-0.399	william
-0.8008	williams
-0.0986	willis
0.4671	wish
0.5736	with
-0.1048	within
0.5024	without
-1.0225	woman
-1.1184	women
0.7983	won
0.2319	wonder
-0.3623	word
0.1381	words
-0.6367	work
0.2702	working
0.9261	works
0.2688	world
-0.1416	worse
-1.9298	worst
-0.0865	worth
-0.3271	would
-0.0628	wouldn
-1.018	write
-0.1985	writer
-0.7248	writers
0.078	writing
-0.0698	written
0.2395	wrong
-0.5025	wrote
0.4236	year
-0.0032	years
-0.1779	yes
0.9477	yet
0.1861	york
1.0046	you
-0.3227	young
0.5325	your
-0.4412	ability
0.3364	above
0.7487	age
0.3646	allen
0.214	amount
0.3179	animated
0.6295	animation
0.2237	approach
-0.0523	army
-0.0393	asks
-0.0036	aspect
0.1377	atmosphere
-0.3191	background
0.3223	beauty
0.5448	became
-0.0707	believable
0.9186	bond
-0.2797	brief
0.2381	brilliant
-0.0461	british
0.6387	brought
-0.2309	brown
0.687	cameron
-0.3456	cannot
-0.0663	carter
1.0201	caught
0.8083	chan
0.6942	chemistry
0.4713	choice
-0.4923	cinematography
0.7587	class
-0.1125	clearly
0.1221	cold
0.9918	common
-0.1834	complex
-0.3442	constantly
0.7048	contact
-0.5738	convincing
-0.2585	country
-0.4576	created
0.715	credit
0.3405	critics
0.9579	definitely
0.3431	delivers
-0.5435	depth
0.3721	deserves
0.3276	details
0.4575	dream
-0.4427	dreams
0.2065	earlier
-0.0352	effective
-0.3178	english
0.8697	enjoyable
0.2593	escape
-0.0899	event
1.1237	excellent
0.5879	fairly
-0.0039	famous
-0.33	fear
0.2605	fiction
1.4153	flaws
0.0414	flynt
0.5565	force
0.3677	frank
-0.3036	government
0.2201	greatest
0.4069	henry
0.1617	highly
0.7482	hilarious
0.4543	ii
0.7509	images
0.0007	impact
0.2653	indeed
0.4262	intelligent
0.6476	jackie
-0.4622	keeps
0.32	key
0.4905	l
0.6481	la
-0.0055	law
-0.5197	leader
0.4788	lies
-0.2296	list
0.0293	lucas
0.2445	mary
0.3075	master
1.8324	memorable
0.7999	mike
0.3365	minor
0.7161	modern
0.5205	moving
0.7279	mulan
-0.4365	musical
0.6119	natural
0.165	nature
0.3599	normal
0.2544	oscar
0.0841	outside
1.2062	overall
0.9512	pace
1.1521	perfectly
0.7948	period
-0.0391	personal
0.5779	political
0.8372	powerful
0.0368	president
0.4394	private
0.0044	proves
0.634	provide
0.44	provides
0.8267	pulp
0.7334	queen
0.0981	r
0.1255	rating
0.6641	realistic
0.0176	reality
0.4394	reasons
0.1157	remains
0.2915	ride
0.2062	sees
0.0867	setting
0.2137	seven
0.5874	share
0.0269	simon
0.0299	sister
0.0875	slightly
-0.2315	slowly
0.4197	society
1.0463	solid
0.6699	song
-0.1364	songs
0.5566	soundtrack
0.0112	spielberg
0.3829	state
-0.4518	stories
0.1481	subtle
0.1853	superb
0.5663	sweet
0.9498	system
0.5713	tarantino
0.252	tension
1.3142	terrific
-0.1056	thanks
0.6462	theme
0.4634	titanic
0.7681	today
0.6411	toy
0.0859	trek
1.1345	truman
0.9723	truth
0.2419	typical
-0.0119	unique
0.6354	unlike
1.091	view
0.8122	wars
-0.4879	wedding
0.4923	wonderful
0.4635	wonderfully
-0.124	woody
